word,pronunciation,position,Definition,Topic
Frost,/frɒst/,noun,a layer of small ice crystals that forms on the ground or other surfaces when the temperate is cold,Weather
Hail,/heɪl/,verb,when frozen rain falls as small balls of ice (hailstones).,Weather
Hailstones,/ˈheɪlstoʊnz/,noun,the small hard balls of ice that fall from the sky,Weather
Snow,/snoʊ/,noun/verb,frozen rain that falls from the sky as soft snowflakes,Weather
Snowflake,/ˈsnoʊfleɪk/,noun,an individual piece of snow,Weather
Sleet,/sliːt/,noun/verb,snow or hail mixed with rain (often with some wind),Weather
Drought,/ˈdraʊt/,noun,Long periods of time without rain causing a lack of water in the area,Weather
Forecast,/ˈfɔːrkæst/,noun,A prediction of how the weather will be on a certain day,Weather
Lightning,/ˈlaɪtnɪŋ/,noun,A flash of light in the sky during a storm.,Weather
Rainbow,/ˈreɪnboʊ/,noun,an arch of colors in the sky formed when the sun shines through rain,Weather
Sunshine,/ˈsʌnʃaɪn/,noun,the light and heat of the sun,Weather
Thunder,/ˈθʌndər/,noun/verb,the rumbling sound in the clouds that happens after lightning,Weather
Puddle,/ˈpʌdl/,noun,"a small pool of water on the ground, usually after rain.",Weather
Smog,/smɒɡ/,noun,a cloud of pollution hanging over a city (a fog of smoke),Weather
an allergy,/æn ˈælərdʒi/,noun,a medical condition that causes you to react badly or feel sick when you eat or touch a particular substance.,Health
asthma,/ˈæz.mə/,noun,a respiratory condition where spasms in the lungs cause difficulty in breathing. An asthmatic uses an inhaler to calm the spasms.,Health
a backache,/ə ˈbækˌeɪk/,noun,a prolonged pain in the back.,Health
a broken leg,/ə ˈbroʊkən lɛɡ/,noun,"when a bone in the leg is broken. A broken leg is put in a cast to help immobilize the leg so that it heals quicker. Other parts of the body with bones can also be broken, for example a broken arm, a broken wrist etc.",Health
cancer,/ˈkænsər/,noun,a serious disease caused by an uncontrolled division of abnormal cells that kill normal body cells in a part of the body.,Health
a cold,/ə koʊld/,noun,"a common viral infection which causes mucus to run from the nose, gives a sore throat and often includes sneezing.",Health
a cough,/ə kɔːf/,noun,the act of expelling air from the lungs with a sudden sharp sound.,Health
diarrhoea,/ˌdaɪəˈriːə/,noun,(America English: diarrhea) an illness in which faeces are discharged from the bowels frequently and in a liquid form.,Health
an earache,/æn ˈɪəreɪk/,noun,pain inside the ear.,Health
a fever,/ə ˈfiːvər/,noun,"an abnormally high body temperature, usually accompanied by shivering and a headache.",Health
the flu,/ðə fluː/,noun,flu is the common name given for influenza. It is a contagious viral infection of the respiratory passages that causes fever and sever aching.,Health
a headache,/ə ˈhɛˌdeɪk/,noun,a continuous pain in the head.,Health
heartburn,/ˈhɑːrtˌbɜːrn/,noun,a form of indigestion felt as a burning sensation in the chest. It is caused by acid regurgitation into the esophagus.,Health
(the) measles,/ðə ˈmiːzlz/,noun,an infectious viral disease causing fever and a red rash on the skin. It typically occurs in childhood.,Health
a rash,/ə ræʃ/,noun,a lot of small red spots on the skin that are usually itchy.,Health
a sore throat,/ə sɔːr θroʊt/,noun,"a condition of pain in the throat, typically caused by inflammation of it.",Health
a sprain,/ə spreɪn/,noun,"an injury to a joint in your body, especially your wrist or ankle, caused by suddenly twisting it.",Health
a stomachache (US) - stomach ache (Brit),/ə ˈstʌməkˌeɪk/ /ˈstʌmək ˌeɪk/,noun,"The pain in a person's belly. Notice how the word can be spelled together or as two words, depending on the country.",Health
sunburn,/ˈsʌnbɜːrn/,noun,when the skin becomes red with inflammation as a result of overexposure to the ultraviolet rays of the sun.,Health
a toothache,/ə ˈtuːθˌeɪk/,noun,the pain in a tooth or teeth.,Health
Acid rain,/ˈæsɪd reɪn/,noun,acidic precipitation (rainfall) that causes harm to the environment. It is formed in the atmosphere when industrial waste gases combine with water.,Environment
Activists,/ˈæktɪvɪsts/,noun,"people who show their strong support of a cause through action, especially political action.",Environment
Animal rights,/ˈænɪməl raɪts/,noun,the natural rights of animals to live free of human dangers and exploitation.,Environment
Aqueduct,/ˈækwɪˌdʌkt/,noun,"an artificial channel for transporting water, often in the form of a bridge.",Environment
Biodegradable,/ˌbaɪəʊdɪˈɡreɪdəbl/,adjective,"generally referring to packaging, it means something than can be decomposed by bacteria or other organisms.",Environment
Breeding in captivity,/ˈbriːdɪŋ ɪn kæpˈtɪvɪti/,noun,"the reproduction of animals in confinement, not in their natural habitats.",Environment
CFC gases,/ˌsiːɛfˈsiː ˈɡæsɪz/,noun,(Chlorofluorocarbon) gases that are harmful to the ozone layer in the Earth's atmosphere.,Environment
Condensation,/ˌkɒndənˈseɪʃən/,noun,water that has been transformed from a gas to a liquid and appears on a cold surface.,Environment
Conservation,/ˌkɒnsəˈveɪʃən/,noun,the protection and preservation of the natural environment.,Environment
Conservation program,/ˌkɒnsəˈveɪʃən ˈprəʊɡræm/,noun,a formalized action plan for protecting or restoring a natural area.,Environment
Conserve,/kənˈsɜːv/,verb,"to care for, preserve and protect.",Environment
Contaminated,/kənˈtæmɪˌneɪtɪd/,adjective,"polluted, usually by toxic waste",Environment
Decay,/dɪˈkeɪ/,verb,"to rot or decompose; also, to decline in quality, energy, etc.",Environment
Drought,/ˈdraʊt/,noun,"the continuous absence of rain, thus causing the land to dry up.",Environment
Ecosystem,/ˈiːkəʊˌsɪstəm/,noun,the natural organisms and flora and fauna that constitute and sustain a particular area.,Environment
Emissions,/ɪˈmɪʃənz/,noun,toxic gases from factories and machinery that are then leaked into the atmosphere.,Environment
Endangered species,/ɪnˈdeɪndʒərd ˈspiːʃiːz/,noun,a species of plant or animal that are in danger of becoming extinct.,Environment
Environmentalist,/ɪnˌvaɪrənˈmɛntəlɪst/,noun,a person who actively works to promote the protection of the environment.,Environment
Erosion,/ɪˈroʊʒən/,noun,the process of the wearing away of land due to there being little to no vegetation.,Environment
Erupt,/ɪˈrʌpt/,adjective,when a volcano becomes active and begins to eject lava.,Environment
Evaporation,/ɪˌvæpəˈreɪʃən/,noun,the process of a liquid heating up and turning into a gas or vapor.,Environment
Extinct,/ɪksˈtɪŋkt/,adjective,when a plant or animal species ceases to exist entirely.,Environment
Fault line,/fɔːlt laɪn/,noun,a fissure in the Earth's crust where the tectonic plates move against each other causing an earthquake.,Environment
Flood,/flʌd/,noun,"when a body of water, such as a river, becomes too full and water overflows beyond its normal confines.",Environment
Fossil fuels,/ˈfɒsl fjuːlz/,noun,"fuel formed naturally over many years from the remains of animals, such as coal, oil, and natural gas.",Environment
Fumes,/fjuːmz/,noun,gases and vapor (usually harmful).,Environment
Global warming,/ˈɡloʊbəl ˈwɔːmɪŋ/,noun,"an increase in the temperature of the Earth's atmosphere, which is due to the greenhouse effect.",Environment
Greenhouse effect,/ˈɡriːnhaʊs ɪˈfɛkt/,noun,the trapping of the sun's heat in the atmosphere caused by greenhouse gases.,Environment
Greenhouse gases,/ˈɡriːnhaʊs ˈɡæsɪz/,noun,"any gas, especially carbon dioxide, which contributes to the greenhouse effect.",Environment
Landfills,/ˈlændˌfɪlz/,noun,large areas of land where waste and garbage are disposed.,Environment
Landslide,/ˈlændˌslaɪd/,noun,when a large amount of land slides down from a mountain or cliff.,Environment
Natural resources,/ˈnætʃərəl rɪˈzɔːrsɪz/,noun,materials found in nature which are often exploited for economic gains.,Environment
Ocean,/ˈoʊʃən/,noun,a large body of salt water spanning between continents.,Environment
Organic,/ɔːrˈɡænɪk/,adjective,without chemicals (such as sprays) or other man-made additives.,Environment
Organic farming,/ɔːrˈɡænɪk ˈfɑːrmɪŋ/,noun,producing crops without the use of chemical pesticides or herbicides.,Environment
Ozone layer,/ˈoʊzoʊn ˈleɪər/,noun,the lower part of the atmosphere which contains a high level of ozone that absorbs the majority of the sun's ultraviolet rays.,Environment
Poaching,/ˈpoʊtʃɪŋ/,noun,the illegal hunting of animals.,Environment
Pollute,/pəˈluːt/,verb,to contaminate a natural area,Environment
Pollution,/pəˈluːʃən/,noun,contamination or toxic bi-products from factories,Environment
Power Lines,/ˈpaʊər laɪnz/,noun,"they're used to conduct electricity to houses and buildings, and are often supported high above the ground by wooden poles or large metal structures.",Environment
